Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGENL135-23_r_1_s_50_BGENL135-23,BGENL135-23,1060424,4931,63,1533,263.0,567.0,417.7945205479452,417.0
BGENL136-23_r_1_s_50_BGENL136-23,BGENL136-23,7199417,436,67,1533,2.0,66.0,20.708414872798436,20.0
BGENL137-23_r_1_s_50_BGENL137-23,BGENL137-23,18838861,3072,196,1533,1.0,294.0,142.12133072407045,138.0
BGENL138-23_r_1_s_50_BGENL138-23,BGENL138-23,1611340,996,13,1533,2.0,105.0,60.93933463796478,60.0
BGENL139-23_r_1_s_50_BGENL139-23,BGENL139-23,12227893,1083,172,1533,0.0,166.0,57.24657534246575,54.0
BGENL140-23_r_1_s_50_BGENL140-23,BGENL140-23,730784,104,36,1533,0.0,16.0,5.389432485322896,5.0
BGENL141-23_r_1_s_50_BGENL141-23,BGENL141-23,6158707,1229,162,1533,6.0,119.0,76.6771037181996,76.0
BGENL142-23_r_1_s_50_BGENL142-23,BGENL142-23,5866964,2173,129,1533,1.0,256.0,160.06457925636008,165.0
BGENL143-23_r_1_s_50_BGENL143-23,BGENL143-23,4323682,610,156,1533,2.0,63.0,34.794520547945204,34.0
BGENL144-23_r_1_s_50_BGENL144-23,BGENL144-23,9170624,870,219,1533,1.0,121.0,43.39334637964775,40.0
BGENL145-23_r_1_s_50_BGENL145-23,BGENL145-23,15274245,746,534,1533,2.0,132.0,33.26614481409002,29.0
BGENL146-23_r_1_s_50_BGENL146-23,BGENL146-23,8525340,1368,205,1533,1.0,158.0,82.35812133072407,80.0
BGENL147-23_r_1_s_50_BGENL147-23,BGENL147-23,2541818,5326,96,1533,1.0,622.0,430.6751467710372,431.0
BGENL148-23_r_1_s_50_BGENL148-23,BGENL148-23,13090032,2770,226,1533,2.0,223.0,125.6477495107632,121.0
BGENL149-23_r_1_s_50_BGENL149-23,BGENL149-23,2331725,2734,70,1533,0.0,318.0,191.0508806262231,182.0
BGENL150-23_r_1_s_50_BGENL150-23,BGENL150-23,1838511,2271,87,1533,123.0,226.0,170.87279843444227,167.0
BGENL151-23_r_1_s_50_BGENL151-23,BGENL151-23,560778,962,36,1533,43.0,108.0,69.51076320939335,68.0
BGENL152-23_r_1_s_50_BGENL152-23,BGENL152-23,4830838,800,174,1533,24.0,83.0,50.273972602739725,51.0
BGENL153-23_r_1_s_50_BGENL153-23,BGENL153-23,5426138,4566,85,1533,219.0,384.0,315.76125244618396,317.0
BGENL154-23_r_1_s_50_BGENL154-23,BGENL154-23,241053,40,16,1533,0.0,5.0,2.5753424657534247,3.0
BGENL155-23_r_1_s_50_BGENL155-23,BGENL155-23,135394,460,3,1533,11.0,46.0,30.8454011741683,31.0
